Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0219,0.0057,0.056,0,0,0,2.6821,0.0148,0.0003,0.0035,0.0212,-0.0008,0.0135,0,0,0,0,0,0,package://URDF.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/base_link.STL,,base^总装配体-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.1031,0.05,0.0424,0,0,0,0.2924,0.0013,-0.0015,-0.0013,0.0037,-0.0006,0.0039,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_hip.STL,,hip^总装配体-1,FL_hip,A_FL_hip,FL_hip_joint,revolute,0.0909,0.04,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
FL_thigh,0.103,0.1089,0.0308,0,0,0,0.4104,0.0058,-0.0046,-0.0013,0.0053,-0.0013,0.0094,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_thigh.STL,,L_thigh^总装配体-1,FL_thigh,A_FL_thigh,FL_thigh_joint,revolute,0.034,0.0254,0,0,0,0,FL_hip,0,1,0,0,0,0,0,,,,,,,,
FL_calf,0.1152,0.1313,-0.1304,0,0,0,0.0403,0.0014,-0.0006,0.0006,0.0013,0.0007,0.0012,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_calf.STL,,L_calf^总装配体-1,FL_calf,A_FL_calf,FL_calf_joint,revolute,0,0.0604,-0.12,0,0,0,FL_thigh,0,1,0,0,0,0,0,,,,,,,,
FL_foot,0.1103,0.1308,-0.199,0,0,0,0.0066,0.0004,-0.0001,0.0001,0.0003,0.0002,0.0002,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FL_foot.STL,,L_foot^总装配体-1,FL_foot,,FL_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.1031,-0.0389,0.0426,0,0,0,0.2924,0.0011,0.0012,-0.0013,0.0037,0.0005,0.0036,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_hip.STL,,hip^总装配体-2,FR_hip,A_FR_hip,FR_hip_joint,revolute,0.0909,-0.04,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
FR_thigh,0.1031,-0.0977,0.0309,0,0,0,0.4104,0.0049,0.0041,-0.0013,0.0053,0.0011,0.0085,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_thigh.STL,,R_thigh^总装配体-1,FR_thigh,A_FR_thigh,FR_thigh_joint,revolute,0.034,-0.0254,0,0,0,0,FR_hip,0,-1,0,0,0,0,0,,,,,,,,
FR_calf,0.1152,-0.1201,-0.1305,0,0,0,0.0403,0.0013,0.0006,0.0006,0.0013,-0.0006,0.0011,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_calf.STL,,R_calf^总装配体-1,FR_calf,A_FR_calf,FR_calf_joint,revolute,0,-0.0604,-0.12,0,0,0,FR_thigh,0,1,0,0,0,0,0,,,,,,,,
FR_foot,0.1103,-0.1208,-0.199,0,0,0,0.0066,0.0004,0.0001,0.0001,0.0003,-0.0002,0.0002,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/FR_foot.STL,,R_foot^总装配体-1,FR_foot,,FR_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
RL_hip,-0.1441,0.05,0.0426,0,0,0,0.2924,0.0013,0.0021,0.0018,0.0067,-0.0006,0.0069,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_hip.STL,,hip^总装配体-3,RL_hip,A_RL_hip,RL_hip_thigh,revolute,-0.0909,0.04,0,0,0,0,base_link,-1,0,0,0,0,0,0,,,,,,,,
RL_thigh,-0.1468,0.1089,0.0308,0,0,0,0.4104,0.0058,0.0066,0.0018,0.0097,-0.0013,0.0139,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_thigh.STL,,L_thigh^总装配体-2,RL_thigh,A_RL_thigh,RL_thigh_joint,revolute,-0.034,0.0254,0,0,0,0,RL_hip,0,1,0,0,0,0,0,,,,,,,,
RL_calf,-0.1346,0.1313,-0.1304,0,0,0,0.0403,0.0014,0.0007,-0.0007,0.0015,0.0007,0.0014,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_calf.STL,,L_calf^总装配体-2,RL_calf,A_RL_calf,RL_calf_joint,revolute,0,0.0604,-0.12,0,0,0,RL_thigh,0,1,0,0,0,0,0,,,,,,,,
RL_foot,-0.1395,0.1308,-0.199,0,0,0,0.0066,0.0004,0.0001,-0.0002,0.0004,0.0002,0.0002,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RL_foot.STL,,L_foot^总装配体-2,RL_foot,,RL_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,RL_calf,0,0,0,,,,,,,,,,,,
RR_hip,-0.1441,-0.0389,0.0424,0,0,0,0.2924,0.0011,-0.0016,0.0018,0.0067,0.0005,0.0066,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_hip.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_hip.STL,,hip^总装配体-4,RR_hip,A_RR_hip,RR_hip_joint,revolute,-0.0909,-0.04,0,0,0,0,base_link,1,0,0,0,0,0,0,,,,,,,,
RR_thigh,-0.1467,-0.0977,0.0309,0,0,0,0.4104,0.0049,-0.0059,0.0018,0.0097,0.0011,0.013,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_thigh.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_thigh.STL,,R_thigh^总装配体-2,RR_thigh,A_RR_thigh,RR_thigh_joint,revolute,-0.034,-0.0254,0,0,0,0,RR_hip,0,-1,0,0,0,0,0,,,,,,,,
RR_calf,-0.1346,-0.1201,-0.1305,0,0,0,0.0403,0.0013,-0.0007,-0.0007,0.0015,-0.0006,0.0013,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_calf.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_calf.STL,,R_calf^总装配体-2,RR_calf,A_RR_calf,RR_calf_joint,revolute,0,-0.0604,-0.12,0,0,0,RR_thigh,0,1,0,0,0,0,0,,,,,,,,
RR_foot,-0.1395,-0.1208,-0.199,0,0,0,0.0066,0.0004,-0.0001,-0.0002,0.0004,-0.0002,0.0002,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_foot.STL,1,1,1,1,0,0,0,0,0,0,package://URDF.SLDASM/meshes/RR_foot.STL,,R_foot^总装配体-2,RR_foot,,RR_foot_joint,fixed,0.0020541,5.9361E-05,-0.13694,0,0,0,RR_calf,0,0,0,,,,,,,,,,,,
